RW2017at250,RW2017at200,RW2017at150,RW2017at100,RW2017at050,month
NA,NA,0.7176795580110497,NA,NA,11
0.6866902237926973,NA,0.8858486532706286,NA,0.9557867360208063,11
NA,NA,0.2887511071744907,NA,NA,11
NA,NA,0.726027397260274,NA,NA,11
NA,1.1477339611536197,NA,0.43358278765201125,NA,11
NA,NA,1.0269179004037685,NA,NA,11
NA,NA,2.179433368310598,NA,NA,11
0.670685497760937,NA,0.6478991596638656,NA,0.534551231135822,11
NA,NA,0.9321753515301902,NA,NA,11
NA,0.7757274662881476,NA,0.49758713136729227,NA,11
NA,0.5275415896487985,NA,0.33352820812627887,NA,11
NA,0.4507799892415277,NA,0.3607632677400119,NA,11
NA,1.217953594522632,NA,0.7364804302360323,NA,11
0.9198905822586948,NA,0.5975713075402429,NA,0.7202978310132729,11
NA,1.1068539804171988,NA,1.014145810663765,NA,11
NA,0.98493543758967,NA,0.4868863483523873,NA,11
NA,0.4525631216526397,NA,0.6189047261815455,NA,11
NA,NA,1.197471402769416,NA,NA,11
NA,1.05259900990099,NA,0.38316920322291853,NA,11
NA,0.8191094619666047,NA,0.8109517601043025,NA,11
NA,0.3593207255885758,NA,0.3610431947840261,NA,11
0.6866611887154204,NA,0.9518213866039954,NA,0.8315083009537266,11
NA,1.1706507304116867,NA,0.6320696084524551,NA,11
NA,NA,0.6557326793378296,NA,NA,11
1.5996131528046422,NA,1.4289261328367473,NA,0.7507260406582769,11
0.9918725617685306,NA,0.9328249818445896,NA,0.9425,11
0.6905619596541787,NA,0.8250401284109149,NA,0.6452702702702703,11
NA,0.9365079365079365,NA,0.4733434881949734,NA,11
NA,1.1763392857142858,NA,1.0567786790266513,NA,11
NA,NA,0.3864864864864864,NA,NA,11
NA,NA,0.5425330812854442,NA,NA,11
NA,0.8594890510948905,NA,0.676946800308404,NA,11
NA,0.8060075093867334,NA,0.5663956639566395,NA,11
1.2197231833910036,NA,0.8158660844250363,NA,0.5843170320404723,11
NA,0.3654154635867822,NA,0.15199465121462002,NA,11
NA,NA,0.8139075464243382,NA,NA,11
0.47329559438838303,NA,0.4507888805409467,NA,0.41978287092882993,11
NA,0.7320261437908497,NA,0.7967479674796748,NA,11
NA,0.7371076233183856,NA,0.3682888540031397,NA,11
NA,0.883706271667192,NA,0.5799937868903386,NA,11
NA,NA,0.768326377050144,NA,NA,10
0.7338193507649035,NA,1.0087047671132987,NA,0.6758533800543328,10
NA,NA,0.5421310218762899,NA,NA,10
NA,NA,1.3204133402969485,NA,NA,10
NA,1.1602743641040296,NA,0.6203335570816337,NA,10
NA,NA,1.0797294089722287,NA,NA,10
NA,NA,1.429681194511703,NA,NA,10
0.6839521537716933,NA,0.526792242609937,NA,0.34205081519490194,10
NA,NA,0.6501159350763573,NA,NA,10
NA,0.439617123105557,NA,0.5739123774509803,NA,10
NA,0.5456854917506491,NA,0.3256226469736461,NA,10
NA,0.5723469583573211,NA,0.36326621674382287,NA,10
NA,1.0042822042822044,NA,0.8338141226639909,NA,10
0.8928376906318082,NA,0.6951099956864436,NA,0.2939403553299492,10
NA,0.9857834111249089,NA,0.5969896120415519,NA,10
NA,0.8040590159556712,NA,NA,NA,10
NA,0.6225397973950796,NA,0.6188623659163015,NA,10
NA,NA,2.4963710591970965,NA,NA,10
NA,0.7526521189468477,NA,0.5193452380952381,NA,10
NA,0.873200241984271,NA,0.5167075904772073,NA,10
NA,0.33619964140656444,NA,0.35888937987921643,NA,10
0.677718256840886,NA,0.6866343609306802,NA,0.8483204673482162,10
NA,0.918991899189919,NA,0.3860296416734413,NA,10
0.842497670083877,NA,0.8363742614115967,NA,2.641674155860829,10
1.0472374761851395,NA,0.8820109087166821,NA,0.45443453382699434,10
